ticker,company,sector
AAPL,Apple,Information Technology
MSFT,Microsoft,Information Technology
NVDA,NVIDIA,Information Technology
AVGO,Broadcom,Information Technology
ORCL,Oracle,Information Technology
CRM,Salesforce,Information Technology
ADBE,Adobe,Information Technology
AMD,Advanced Micro Devices,Information Technology
CSCO,Cisco,Information Technology
IBM,IBM,Information Technology
QCOM,Qualcomm,Information Technology
TXN,Texas Instruments,Information Technology
GOOGL,Alphabet Class A,Communication Services
GOOG,Alphabet Class C,Communication Services
META,Meta Platforms,Communication Services
NFLX,Netflix,Communication Services
TMUS,T-Mobile US,Communication Services
T,AT&T,Communication Services
VZ,Verizon,Communication Services
DIS,Walt Disney,Communication Services
CMCSA,Comcast,Communication Services
EA,Electronic Arts,Communication Services
AMZN,Amazon,Consumer Discretionary
TSLA,Tesla,Consumer Discretionary
HD,Home Depot,Consumer Discretionary
MCD,McDonald's,Consumer Discretionary
BKNG,Booking Holdings,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
LOW,Lowe's,Consumer Discretionary
NKE,Nike,Consumer Discretionary
SBUX,Starbucks,Consumer Discretionary
GM,General Motors,Consumer Discretionary
WMT,Walmart,Consumer Staples
COST,Costco,Consumer Staples
PG,Procter & Gamble,Consumer Staples
KO,Coca-Cola,Consumer Staples
PEP,PepsiCo,Consumer Staples
PM,Philip Morris International,Consumer Staples
MDLZ,Mondelez,Consumer Staples
CL,Colgate-Palmolive,Consumer Staples
KMB,Kimberly-Clark,Consumer Staples
GIS,General Mills,Consumer Staples
XOM,Exxon Mobil,Energy
CVX,Chevron,Energy
COP,ConocoPhillips,Energy
EOG,EOG Resources,Energy
SLB,SLB,Energy
MPC,Marathon Petroleum,Energy
PSX,Phillips 66,Energy
OXY,Occidental Petroleum,Energy
VLO,Valero Energy,Energy
KMI,Kinder Morgan,Energy
JPM,JPMorgan Chase,Financials
BAC,Bank of America,Financials
WFC,Wells Fargo,Financials
GS,Goldman Sachs,Financials
MS,Morgan Stanley,Financials
BLK,BlackRock,Financials
AXP,American Express,Financials
C,Citigroup,Financials
SCHW,Charles Schwab,Financials
PNC,PNC Financial,Financials
LLY,Eli Lilly,Health Care
JNJ,Johnson & Johnson,Health Care
UNH,UnitedHealth Group,Health Care
ABBV,AbbVie,Health Care
MRK,Merck,Health Care
TMO,Thermo Fisher Scientific,Health Care
ABT,Abbott Laboratories,Health Care
ISRG,Intuitive Surgical,Health Care
AMGN,Amgen,Health Care
GILD,Gilead Sciences,Health Care
GE,GE Aerospace,Industrials
CAT,Caterpillar,Industrials
RTX,RTX,Industrials
UNP,Union Pacific,Industrials
HON,Honeywell,Industrials
ETN,Eaton,Industrials
BA,Boeing,Industrials
UPS,United Parcel Service,Industrials
DE,Deere,Industrials
LMT,Lockheed Martin,Industrials
LIN,Linde,Materials
SHW,Sherwin-Williams,Materials
APD,Air Products,Materials
ECL,Ecolab,Materials
NEM,Newmont,Materials
FCX,Freeport-McMoRan,Materials
NUE,Nucor,Materials
DOW,Dow,Materials
CTVA,Corteva,Materials
MLM,Martin Marietta Materials,Materials
PLD,Prologis,Real Estate
AMT,American Tower,Real Estate
EQIX,Equinix,Real Estate
WELL,Welltower,Real Estate
SPG,Simon Property Group,Real Estate
O,Realty Income,Real Estate
CCI,Crown Castle,Real Estate
PSA,Public Storage,Real Estate
DLR,Digital Realty,Real Estate
CBRE,CBRE Group,Real Estate
NEE,NextEra Energy,Utilities
SO,Southern Company,Utilities
DUK,Duke Energy,Utilities
CEG,Constellation Energy,Utilities
AEP,American Electric Power,Utilities
SRE,Sempra,Utilities
D,Dominion Energy,Utilities
EXC,Exelon,Utilities
XEL,Xcel Energy,Utilities
PEG,Public Service Enterprise Group,Utilities
